iter	Logloss
0	0.6057378296
1	0.5464092625
2	0.5011729502
3	0.4714015201
4	0.4571567245
5	0.4411199261
6	0.4294460176
7	0.4217832743
8	0.4155538114
9	0.4121541871
10	0.4049285238
11	0.4015054701
12	0.3972475163
13	0.3945810345
14	0.3945786013
15	0.3945319128
16	0.3906431889
17	0.3878582177
18	0.3864514623
19	0.3843173272
20	0.3813722104
21	0.3771693533
22	0.3742196077
23	0.3723459491
24	0.3709117602
25	0.366796856
26	0.3652586901
27	0.3624435316
28	0.3614695295
29	0.3599421008
30	0.3568460234
31	0.3532649992
32	0.3518113534
33	0.3499678756
34	0.3470191584
35	0.345426212
36	0.3418000559
37	0.3390361026
38	0.3365472817
39	0.3344416129
40	0.3326013874
41	0.3321504135
42	0.3308870569
43	0.3297187775
44	0.3286177308
45	0.3262919806
46	0.3236761454
47	0.3220405484
48	0.3193131006
49	0.3182372655
50	0.3173665031
51	0.3162554021
52	0.3143899817
53	0.3139425098
54	0.3129181984
55	0.3109935509
56	0.3096350129
57	0.3081755809
58	0.3077969525
59	0.3072817455
60	0.3051747235
61	0.3032409108
62	0.3011768229
63	0.3001646667
64	0.2973567047
65	0.2966709091
66	0.2955754817
67	0.2940964524
68	0.2932561292
69	0.2915169056
70	0.2906613666
71	0.290083965
72	0.2893200805
73	0.2874948097
74	0.286846663
75	0.2858439372
76	0.285258522
77	0.2831721576
78	0.2808642259
79	0.2798828684
80	0.278199579
81	0.2775856242
82	0.276051736
83	0.2751471868
84	0.2742096457
85	0.27249676
86	0.2714645156
87	0.2706966995
88	0.2690252274
89	0.267071072
90	0.2659525254
91	0.2653038305
92	0.2636176725
93	0.2625349555
94	0.2619842199
95	0.2610523704
96	0.2601806751
97	0.2590248214
98	0.2579766826
99	0.2561834562
