iter	Passed	Remaining
0	2	227
1	5	293
2	8	265
3	11	276
4	13	261
5	16	255
6	19	253
7	21	248
8	23	242
9	26	242
10	29	236
11	30	226
12	33	221
13	35	217
14	36	207
15	37	198
16	41	200
17	43	200
18	46	196
19	48	192
20	50	188
21	52	185
22	54	182
23	57	182
24	59	179
25	61	176
26	63	172
27	66	170
28	68	167
29	71	166
30	73	164
31	76	161
32	78	158
33	80	156
34	82	153
35	84	150
36	87	149
37	89	146
38	92	144
39	94	141
40	97	140
41	99	137
42	102	136
43	108	138
44	111	136
45	113	133
46	116	130
47	118	128
48	121	126
49	128	128
50	131	125
51	134	123
52	136	120
53	138	117
54	140	115
55	143	112
56	145	109
57	148	107
58	150	104
59	152	101
60	154	98
61	156	95
62	158	93
63	161	90
64	164	88
65	166	85
66	169	83
67	171	80
68	174	78
69	176	75
70	179	73
71	184	71
72	188	69
73	191	67
74	193	64
75	196	61
76	198	59
77	200	56
78	203	54
79	205	51
80	208	48
81	210	46
82	213	43
83	215	41
84	218	38
85	220	35
86	222	33
87	226	30
88	229	28
89	231	25
90	234	23
91	236	20
92	240	18
93	243	15
94	245	12
95	248	10
96	251	7
97	253	5
98	255	2
99	265	0
